,domain,type
0,fakenaeb.ru,malware_download
1,toshibanetcam.com,malware_download
2,sweet-bud.com,malware_download
3,ssl443.org,malware_download
4,isaacwright.com,malware_download
5,zzz.com.ua,malware_download
6,sunsethillhoney.com,malware_download
7,ru.com,malware_download
8,oteam.io,malware_download
9,monerov8.com,malware_download
10,zyns.com,malware_download
11,mylftv.com,malware_download
12,toh.info,malware_download
13,ranknfile.org,malware_download
14,schoolaredu.com,malware_download
15,install-upload.com,malware_download
16,myz.info,malware_download
17,bncv334d.ru,malware_download
18,dunysaki.ru,malware_download
19,industry-buzz.com,malware_download
20,ikpaie.pl,malware_download
21,demopn.com,malware_download
22,coopsantamonica.com.ar,malware_download
23,nowokay.shop,malware_download
24,syncdatacore.net,malware_download
25,wearepermana.com,malware_download
26,altinkayalar.net,malware_download
27,halal-expo.my,malware_download
28,aandeslagmetpit.nl,malware_download
29,fabiennebakker.nl,malware_download
30,tkpgtaaqatrunnada.sch.id,malware_download
31,cbmagency.com,malware_download
32,aaykaydetergents.com,malware_download
33,ayodhyatrade.com,malware_download
34,lotusttrade.com,malware_download
35,nanyangbaobao.com,malware_download
36,gelatidoro.sk,malware_download
37,shreedadaghagre.com,malware_download
38,costayres.com,malware_download
39,wrapmotors.com,malware_download
40,sevensites.es,malware_download
41,foodandwoodworks.com,malware_download
42,zimerim4u.co.il,malware_download
43,batalhademitos.com.br,malware_download
44,yatcheong.com,malware_download
45,redirectme.net,malware_download
46,coinspottechrem.com,malware_download
47,eitchendie.com,malware_download
48,automaticment.com,malware_download
49,spontaneoution.com,malware_download
50,tplstore.com.pk,malware_download
51,nonlocality.com,malware_download
52,99.com,malware_download
53,designerforhad.com,malware_download
54,arvolea.pt,malware_download
55,atelierap.cz,malware_download
56,vatraneamului.it,malware_download
57,universadeliveryservice.com,malware_download
58,pdri.or.id,malware_download
59,batalhademitos.com.br,malware_download
60,anghayehrabbani.com,malware_download
61,i3program.org,malware_download
62,fondtomafound.org,malware_download
63,m78.com,malware_download
64,coolsofttech.com,malware_download
65,proalergico.sk,malware_download
66,rbs.sch.id,malware_download
67,study.ir,malware_download
68,fikresufia.com,malware_download
69,mankintech.com,malware_download
70,easyfilter.it,malware_download
71,jsbspod.com,malware_download
72,weronikasculptu.re,malware_download
73,unived.ac.id,malware_download
74,applehomestay.com,malware_download
75,flux.com.uy,malware_download
76,uta.cl,malware_download
77,tdcind.com,malware_download
78,eenidee.nu,malware_download
79,auliyarahman.com,malware_download
80,groomdog.ru,malware_download
81,devstage.in,malware_download
82,sanderohrglobalsolutions.com,malware_download
83,bigmindtech.in,malware_download
84,ukipbolton.org,malware_download
85,nissanbacgiang.com,malware_download
86,one4five.com.ng,malware_download
87,x4r7.ru,malware_download
88,miniessay.net,malware_download
89,structecoship.com,malware_download
90,jar5.com,malware_download
91,kalselprov.go.id,malware_download
92,brainscf.com,malware_download
93,projectconsultingservices.in,malware_download
94,luxtrafik.com.ua,malware_download
95,constructionclub.pl,malware_download
96,intelliservices.io,malware_download
97,vergnano1882.ru,malware_download
98,sejutaaplikasiasia.com,malware_download
99,cbs.dk,malware_download
100,zmhws.com,malware_download
101,yorkshireeventhire.co.uk,malware_download
102,stafette.ro,malware_download
103,avalonwaterways.eu,malware_download
104,unam.mx,malware_download
105,buzztinker.com,malware_download
106,digistudy.vn,malware_download
107,karl-abert.de,malware_download
108,kaehlerweb.de,malware_download
109,easypools.com.ng,malware_download
110,checkwp.top,malware_download
111,simixcz.cz,malware_download
112,stanvandongen.com,malware_download
113,easternsea.com.sg,malware_download
114,drcchile.com,malware_download
115,pravprihod.ru,malware_download
116,omgmtg.com,malware_download
117,iae.edu.vn,malware_download
118,3teej.com,malware_download
119,guillermocazenave.com,malware_download
120,masongthebom.com,malware_download
121,designvaerk.dk,malware_download
122,askthemadpoet.net,malware_download
123,akpeugono.com,malware_download
124,growhealthy.pt,malware_download
125,irqureshi.com,malware_download
126,soil-stabilization.ir,malware_download
127,rysimis.pl,malware_download
128,dodahanghieu.net,malware_download
129,globalipcall.com,malware_download
130,rodrigogomez.com.mx,malware_download
131,goldfera.com,malware_download
132,albus.com.br,malware_download
133,diypartyhome.com,malware_download
134,bahisreklami.com,malware_download
135,ahiyangrup.com.tr,malware_download
136,karamed.ir,malware_download
137,minimal-idw.com,malware_download
138,krakksiegowosc.pl,malware_download
139,nirjhara.com,malware_download
140,sannicoloimmobiliare.com,malware_download
141,rouxing.org,malware_download
142,prochazkaservis.cz,malware_download
143,pandora-jewelry-clearance.us,malware_download
144,thearab.org,malware_download
145,siisa.com.mx,malware_download
146,taxtionfree.co.in,malware_download
147,ohyellow.nl,malware_download
148,massomsadarpuri.com,malware_download
149,cn.com,malware_download
150,majoristanbul.com,malware_download
151,shazaamwebsites.com,malware_download
152,wordsoflove.jp,malware_download
153,vdmacademy.in,malware_download
154,tjs-properties.co.uk,malware_download
155,gaozhibrand.com,malware_download
156,theupperquartile.co.uk,malware_download
