,domain,subdomain_numbers,ver_subdomain_numbers,ratio
0,healthandfitnesstraining.shop,1,1,1.0
1,nafistile.com,1,1,1.0
2,checkwp.top,1,1,1.0
3,ue.nz,1,1,1.0
4,sanderohrglobalsolutions.com,1,1,1.0
5,bondibackpackersnhatrang.com,1,1,1.0
6,achieverspumpsandvalves.com,1,1,1.0
7,wessexchemicalfactors.co.uk,1,1,1.0
8,projectonepublishing.co.uk,1,1,1.0
9,sallywensleypainting.com.au,1,1,1.0
10,projectconsultingservices.in,1,1,1.0
11,nottingham24hourplumbers.co.uk,1,1,1.0
12,tarakiriclusterfoundation.org,1,1,1.0
13,gg.gg,1,1,1.0
14,toh.info,1,1,1.0
15,ylgcelik.site,1,1,1.0
16,bncv334d.ru,1,1,1.0
17,jghbktqepe.pw,1,1,1.0
18,eletronicautomacoes.com.br,1,1,1.0
19,nut.cc,1,1,1.0
20,at.nr,1,1,1.0
21,therocksisrocksandtony.org,1,1,1.0
22,hkv.si,1,1,1.0
23,diminisheddatatransfer.net,1,1,1.0
24,nondisclosureaddremove.net,1,1,1.0
25,0pu.ru,1,1,1.0
26,masterdavinslideventures.info,1,1,1.0
27,atlantisexpressdelivery.co.uk,1,1,1.0
28,rag.su,1,1,1.0
29,representacionesaustral.cl,1,1,1.0
30,bl.ee,1,1,1.0
31,personalizationfreezing.info,1,1,1.0
32,zxy.me,1,1,1.0
33,mwjsllseqknqoyitzcuyhk.com,1,1,1.0
34,paialowereasterncherokeenationsc.com,1,1,1.0
35,u.to,1,1,1.0
36,teakcenter.com,2,2,1.0
37,j.gs,1,1,1.0
38,pagan.es,1,1,1.0
39,mankintech.com,1,1,1.0
40,3gksa.com,1,1,1.0
41,romeoz.com,1,1,1.0
42,lwdev.nl,1,1,1.0
43,actax.jp,1,1,1.0
44,parkingmasterbd.com,1,1,1.0
45,sakixx.ml,1,1,1.0
46,jhl.com.pe,1,1,1.0
47,myjino.ru,2,1,0.5
48,chez.com,3,2,0.6666666666666666
49,chargeforward.net,1,1,1.0
50,cleanindustry.net,1,1,1.0
51,freshwhite.net,1,1,1.0
52,simul.eu,1,1,1.0
53,voscomptesenligne.eu,1,1,1.0
54,casasxavier.com.br,1,1,1.0
55,careerplacementindia.com,1,1,1.0
56,interzolve.com,1,1,1.0
57,despachomayorgayasociados.com.mx,1,1,1.0
58,drugstorehealthdrugstore.ru,1,1,1.0
59,zz.mu,2,1,0.5
60,christielewisinteriors.com,1,1,1.0
61,vwgxhm.bid,1,1,1.0
62,paypoints.red,1,1,1.0
63,s7b63k.bid,1,1,1.0
64,18ey8e.top,1,1,1.0
65,myssfgfgfvfghkfghjlkdd.info,1,1,1.0
66,avindustiralproducts.co.uk,1,1,1.0
67,rr.nu,2,2,1.0
68,alexanderinteriorsanddesign.com,1,1,1.0
69,hotelcesenaticobooking.info,1,1,1.0
70,bos.ru,1,1,1.0
71,tld.cc,1,1,1.0
72,cn.com,56,55,0.9821428571428571
73,wha.la,1,1,1.0
74,newtimeslearningcentre.com,1,1,1.0
75,simulateddiscretionary.biz,1,1,1.0
76,pedagogiepianomartenot.com,1,1,1.0
77,napolicontabilidade.com.br,1,1,1.0
78,ecologicaembalagens.com.br,1,1,1.0
79,ro.gp,1,1,1.0
80,internationaltravelconsultantsinc.com,1,1,1.0
81,gilmorestradingsolution.com,1,1,1.0
82,theassassinscreedrevolution.com,1,1,1.0
83,serveblog.net,2,2,1.0
84,bestbuyautotransport.com.au,1,1,1.0
85,authenticatesyahoostyle.info,1,1,1.0
86,candlerparkchiropractic.com,1,1,1.0
87,kingdomfaithconnection.com,1,1,1.0
88,gv.vg,1,1,1.0
89,orderprocessingsuffering.name,1,1,1.0
90,somebodyhardwareaccelerated.biz,1,1,1.0
91,bainslodgesinternational.com,1,1,1.0
92,nl.ai,1,1,1.0
93,volunteerworksydney.org.au,1,1,1.0
94,federacionhipicaasturiana.com,1,1,1.0
95,bavarianilluminatibrotherhood.com,1,1,1.0
96,navarrainternetmeeting.com,1,1,1.0
97,servehalflife.com,2,2,1.0
98,diversifiedgeneralcontracting.com,1,1,1.0
99,fondtomafound.org,1,1,1.0
100,vanmook.net,1,1,1.0
101,mypromo.online,1,1,1.0
102,jhsstudio.com.br,1,1,1.0
103,irqureshi.com,1,1,1.0
104,techaheadcorp.ca,1,1,1.0
105,mmcountrywidepages.com,1,1,1.0
106,eingenia.com,1,1,1.0
107,redrhinofilms.com,1,1,1.0
108,brotherstaxikusadasi.com,1,1,1.0
109,designerforhad.com,1,1,1.0
110,theupperquartile.co.uk,1,1,1.0
111,sliceoflimedesigns.com,1,1,1.0
112,simixcz.cz,1,1,1.0
113,slfeed.net,1,1,1.0
114,smartchoice.com.vn,1,1,1.0
115,interruption.ru,1,1,1.0
116,spontaneoution.com,1,1,1.0
117,ptgatesolutions.com,1,1,1.0
118,anghayehrabbani.com,1,1,1.0
119,thecreativeshop.com.au,1,1,1.0
120,gbmbuilders.com,1,1,1.0
121,blobfeed.com,1,1,1.0
122,agtrade.hu,1,1,1.0
123,easypools.com.ng,1,1,1.0
124,ammedieval.org,1,1,1.0
125,trellosoft.pro,1,1,1.0
126,shirkeswitch.net,1,1,1.0
127,swandecorators.co.uk,1,1,1.0
128,bigmindtech.in,1,1,1.0
129,futurer.co.nz,1,1,1.0
130,modexcommunications.eu,1,1,1.0
131,alrafahfire.com,1,1,1.0
132,quanganhmobile.net,1,1,1.0
133,deportetotal.mx,1,1,1.0
134,neomgk.me,1,1,1.0
135,nextnewspost.com,1,1,1.0
136,treassurebank.org,1,1,1.0
137,pulsejobs.net,1,1,1.0
138,seiomon.eu,1,1,1.0
139,isaacwright.com,1,1,1.0
140,tringshop.com,1,1,1.0
141,sentabi.com,1,1,1.0
142,omgmtg.com,1,1,1.0
143,travellow.world,1,1,1.0
144,panoramasistemas.com.br,1,1,1.0
145,tomiauto.com,1,1,1.0
146,walburg.pl,1,1,1.0
147,inspirapro.id,1,1,1.0
148,netich.co.ke,1,1,1.0
149,abdillahsystem.com,1,1,1.0
150,pianobyearsecrets.com,1,1,1.0
151,aro.media,1,1,1.0
152,masongthebom.com,1,1,1.0
153,radiocharlene.com,1,1,1.0
154,wsu.ac.za,1,1,1.0
155,foodplus.com.vn,1,1,1.0
156,jsbspod.com,1,1,1.0
157,kienthuctrading.com,1,1,1.0
158,taxtionfree.co.in,1,1,1.0
159,mikekirin.com,1,1,1.0
160,soylubilgisayar.net,1,1,1.0
161,aasinfo.hu,1,1,1.0
162,shawktech.com,1,1,1.0
163,karamed.ir,1,1,1.0
164,vatraneamului.it,1,1,1.0
165,kaebisch.com.br,1,1,1.0
166,bipcode.com.br,1,1,1.0
167,webnemu.net,1,1,1.0
168,walycorp.com,1,1,1.0
169,vszdee99kf.com,1,1,1.0
170,sonmoda.net,1,1,1.0
171,modelsofmeerut.com,1,1,1.0
172,wowter.com,1,1,1.0
173,ahoragsm.com.ar,1,1,1.0
174,fillysrealestate.com,1,1,1.0
175,theessaypros.com,1,1,1.0
176,nirjhara.com,1,1,1.0
177,miniessay.net,1,1,1.0
178,i3program.org,1,1,1.0
179,maliebaanloop.nl,1,1,1.0
180,inces.gob.ve,1,1,1.0
181,alannonce.fr,1,1,1.0
182,teknotown.com,1,1,1.0
183,epicbusinessmedia.com,1,1,1.0
184,foresightastro.com,1,1,1.0
185,10zan.com,1,1,1.0
186,mistcinemas.com,1,1,1.0
187,usiquimica.com.br,1,1,1.0
188,lomboktengahkab.go.id,1,1,1.0
189,mrshare.info,1,1,1.0
190,thearab.org,1,1,1.0
191,hghdefined.com,1,1,1.0
192,prax0zma.ru,1,1,1.0
193,growhealthy.pt,1,1,1.0
194,proalergico.sk,1,1,1.0
195,stimunol.ru,1,1,1.0
196,applehomestay.com,1,1,1.0
197,dorubi.com,1,1,1.0
198,arcticcat.sk,1,1,1.0
199,epcvlaamsbrabant.be,1,1,1.0
200,askthemadpoet.net,1,1,1.0
201,originalsbrands.com,1,1,1.0
202,pufferfiz.net,1,1,1.0
203,cnfamilywealth.com,1,1,1.0
204,pravprihod.ru,1,1,1.0
205,ranknfile.org,1,1,1.0
206,rossairey.com,1,1,1.0
207,bendafamily.com,1,1,1.0
208,eagenthk.com,1,1,1.0
209,tknowledgy.com,1,1,1.0
210,anorimoi.com,1,1,1.0
211,bernardlawgroup.com,1,1,1.0
212,7uptheme.com,1,1,1.0
213,userslinks.xyz,1,1,1.0
214,luxtrafik.com.ua,1,1,1.0
215,myfootball.ro,1,1,1.0
216,thehomelymealmaker.in,1,1,1.0
217,aliceincode.com,1,1,1.0
218,exr0z.info,1,1,1.0
219,eenidee.nu,1,1,1.0
220,mundolagarto.com.ar,1,1,1.0
221,workworldtraining.it,1,1,1.0
222,ayodhyatrade.com,1,1,1.0
223,aceequities.in,1,1,1.0
224,motorlineuk.co.uk,1,1,1.0
225,hediyenkolay.com,1,1,1.0
226,bembelbrigade.de,1,1,1.0
227,nanyangbaobao.com,1,1,1.0
228,avagly.ir,1,1,1.0
229,moveistradicao.ind.br,1,1,1.0
230,poojasingh.me,1,1,1.0
231,ilzuricdhetrad.ru,1,1,1.0
232,piotrszarmach.com,1,1,1.0
233,gourmetreats.in,1,1,1.0
234,cnhornebakery.com,1,1,1.0
235,ahiyangrup.com.tr,1,1,1.0
236,arnela.nl,1,1,1.0
237,nissanbacgiang.com,1,1,1.0
238,phmcsecurities.org,1,1,1.0
239,uranie.ch,1,1,1.0
240,kamagra4uk.com,1,1,1.0
241,famarasurf.com,1,1,1.0
242,atxin.cc,1,1,1.0
243,vancongnghiepvn.com.vn,1,1,1.0
244,andyliotta.com,1,1,1.0
245,freesoft.website,1,1,1.0
246,foodandwoodworks.com,1,1,1.0
247,alegriavzw.be,1,1,1.0
248,groomdog.ru,1,1,1.0
249,seorailsy.com,1,1,1.0
250,akpeugono.com,1,1,1.0
251,lasrocas.co.uk,1,1,1.0
252,atelierap.cz,1,1,1.0
253,arigbabuwogalleria.com,1,1,1.0
254,actron.com.my,1,1,1.0
255,rafaelcarvalho.com.br,1,1,1.0
256,hostname.vip,1,1,1.0
257,buenapractica.cl,1,1,1.0
258,5gbfree.com,2,1,0.5
259,leplan.mx,1,1,1.0
260,zimerim4u.co.il,1,1,1.0
261,weronikasculptu.re,1,1,1.0
262,triton.fi,1,1,1.0
263,yasgold.com,1,1,1.0
264,oddity.co.za,1,1,1.0
265,panoramadaily.com,1,1,1.0
266,thienuy.com,1,1,1.0
267,tcbrs.com,1,1,1.0
268,render.lt,1,1,1.0
269,diypartyhome.com,1,1,1.0
270,digivietnam.com,1,1,1.0
271,wordsoflove.jp,1,1,1.0
272,ssrai.org,1,1,1.0
273,transagep.com,1,1,1.0
274,ptmo.com.au,1,1,1.0
275,toshibanetcam.com,1,1,1.0
276,indufan.cl,1,1,1.0
277,gulinsalacarte.se,1,1,1.0
278,prochazkaservis.cz,1,1,1.0
279,sacviettravel.com,1,1,1.0
280,hoangnq.com,1,1,1.0
281,programszone.com,1,1,1.0
282,lwkb.info,1,1,1.0
283,siamnatural.com,1,1,1.0
284,dutchba.com,1,1,1.0
285,shwesu.me,1,1,1.0
286,telovox.com,1,1,1.0
287,ikramcigkofteci.com,1,1,1.0
288,kaziriad.com,1,1,1.0
289,cpursuit.com,1,1,1.0
290,marvin.tech,1,1,1.0
291,artvest.org,1,1,1.0
292,maxxpinturas.com.br,1,1,1.0
293,voasi.com,1,1,1.0
294,tacatacashidalgo.cl,1,1,1.0
295,ingenioustant.com,1,1,1.0
296,fakenaeb.ru,1,1,1.0
297,ventanasdealuminio.org,1,1,1.0
298,ogilvy.africa,1,1,1.0
299,nowokay.shop,1,1,1.0
300,technorash.com,1,1,1.0
301,koncertprotistrachu.cz,1,1,1.0
302,trendendustriyel.com,1,1,1.0
303,smartpromo.top,1,1,1.0
304,laptrinhwebcoban.com,1,1,1.0
305,easternsea.com.sg,1,1,1.0
306,keyworld.co.id,1,1,1.0
307,rangtrangxinh.vn,1,1,1.0
308,bilgiegitimonline.com,1,1,1.0
309,thefanembassy.com,1,1,1.0
310,movebeyond.me,1,1,1.0
311,oteam.io,1,1,1.0
312,zaferhavuz.com,1,1,1.0
313,kose.online,1,1,1.0
314,sahafstandi.com,1,1,1.0
315,schoolaredu.com,1,1,1.0
316,fredwil.co.uk,1,1,1.0
317,instagrama.ir,1,1,1.0
318,batalhademitos.com.br,1,1,1.0
319,coopsantamonica.com.ar,1,1,1.0
320,dandsinternet.com,1,1,1.0
321,alkareemco.com,1,1,1.0
322,ascestas.com.br,1,1,1.0
323,automaticment.com,1,1,1.0
324,dunysaki.ru,1,1,1.0
325,aghakhani.com,1,1,1.0
326,somersetweb.com,1,1,1.0
327,universaliteds.com,1,1,1.0
328,hourofcode.cn,1,1,1.0
329,bahisreklami.com,1,1,1.0
330,gelatidoro.sk,1,1,1.0
331,grillitrestaurant.com,1,1,1.0
332,zcmpompa.com,1,1,1.0
333,breathenetwork.co.uk,1,1,1.0
334,cqconsulting.ca,1,1,1.0
335,jornaldofontes.com.br,1,1,1.0
336,geshtalt.mk,1,1,1.0
337,ndigital.cn,2,2,1.0
338,suteajoin.com,1,1,1.0
339,bashheal.com,1,1,1.0
340,kolkatacleanair.in,1,1,1.0
341,strugglelymed.com,1,1,1.0
342,majoristanbul.com,1,1,1.0
343,athemmktg.com,1,1,1.0
344,rychlapreprava.sk,1,1,1.0
345,artofu.de,1,1,1.0
346,ajosdiegopozo.com,1,1,1.0
347,spread.ooo,1,1,1.0
348,adlnovin.ir,1,1,1.0
349,digistudy.vn,1,1,1.0
350,demopn.com,1,1,1.0
351,sejutaaplikasiasia.com,1,1,1.0
352,kaehlerweb.de,1,1,1.0
353,tinhdauhanoi.org,1,1,1.0
354,webtop.lv,1,1,1.0
355,rysimis.pl,1,1,1.0
356,vanderbruggen.eu,1,1,1.0
357,remenelectricals.com,1,1,1.0
358,tcaircargo.com,1,1,1.0
359,dogalbilgi.com,1,1,1.0
360,colortronicsrew.com,1,1,1.0
361,hopex.com.co,1,1,1.0
362,dfydemos.com,1,1,1.0
363,truetechnologies.net,1,1,1.0
364,past.com.tr,1,1,1.0
365,1lorawicz.pl,1,1,1.0
366,propertyhub.ng,1,1,1.0
367,corsateam.com.br,1,1,1.0
368,hostingboom.com,1,1,1.0
369,malooequitrade.com,1,1,1.0
370,easyfilter.it,1,1,1.0
371,akashicinsights.com,1,1,1.0
372,akinlolo.co.uk,1,1,1.0
373,skiddump.cf,1,1,1.0
374,organiccalabarzon.site,1,1,1.0
375,ubotec.com,1,1,1.0
376,ademaj.ch,1,1,1.0
377,ohyellow.nl,1,1,1.0
378,typtotaal.nl,1,1,1.0
379,admins.lt,1,1,1.0
380,rkmonteiro.com.br,1,1,1.0
381,carfacil.com,1,1,1.0
382,rdspresource.ca,1,1,1.0
383,mjits.co.uk,1,1,1.0
384,ukipbolton.org,1,1,1.0
385,monitoringgor.pl,1,1,1.0
386,kasebbazar.com,1,1,1.0
387,coinspottechrem.com,1,1,1.0
388,chefuzma.com,1,1,1.0
389,vdmacademy.in,1,1,1.0
390,itotemic.com,1,1,1.0
391,bevoc.nl,1,1,1.0
392,fmkucm.sk,1,1,1.0
393,promotoyotaindo.com,1,1,1.0
394,firmadergisi.com,1,1,1.0
395,pasb.my,1,1,1.0
396,yatcheong.com,1,1,1.0
397,servecounterstrike.com,2,1,0.5
398,sunroofeses.info,1,1,1.0
399,smsafiliados.com,1,1,1.0
400,gadisbetuahtravel.com,1,1,1.0
401,redirectme.net,6,6,1.0
402,aandeslagmetpit.nl,1,1,1.0
403,worldclasstrans.com,1,1,1.0
404,rouxing.org,1,1,1.0
405,tvbildirim.com,1,1,1.0
406,vrouwenthrillers.nl,1,1,1.0
407,vahokad.sk,1,1,1.0
408,divineconne.com,1,1,1.0
409,akwamax.com,1,1,1.0
410,nonlocality.com,1,1,1.0
411,alexovicsattila.com,1,1,1.0
412,stanvandongen.com,1,1,1.0
413,masuran.lk,1,1,1.0
414,arvolea.pt,1,1,1.0
415,creativsoft.md,1,1,1.0
416,circuloaeronautico.com,1,1,1.0
417,ragnar.net,1,1,1.0
418,donghuongkiengiang.com,1,1,1.0
419,flux.com.uy,1,1,1.0
420,dreamstyle.cl,1,1,1.0
421,djohnsonfamily.co.uk,1,1,1.0
422,amviciousava.com,1,1,1.0
423,besyolplastik.com.tr,1,1,1.0
424,avalonwaterways.eu,1,1,1.0
425,notarius.kharkiv.ua,1,1,1.0
426,beadack.com,1,1,1.0
427,antorres.com,1,1,1.0
428,ricardob.eti.br,1,1,1.0
429,buzztinker.com,1,1,1.0
430,albertandyork.com,1,1,1.0
431,mohidigi.com,1,1,1.0
432,topsystemautomacao.com.br,1,1,1.0
433,smarthouse.ge,1,1,1.0
434,3teej.com,1,1,1.0
435,efigen.com.co,1,1,1.0
