,domain,number_of_unique_ips,number_of_domains
0,nicosiabujinkan.com,3,1
1,fondtomafound.org,1,1
2,vanmook.net,2,1
3,eitchendie.com,1,1
4,mypromo.online,3,20
5,europacific.in,1,1
6,jhsstudio.com.br,2,1
7,irqureshi.com,3,0
8,healthandfitnesstraining.shop,1,24
9,mardigrasparade2010.com,1,2
10,in.net,4,2
11,mmcountrywidepages.com,1,24
12,hotelterradets.com,2,1
13,fikresufia.com,1,1
14,eingenia.com,1,1
15,redrhinofilms.com,1,1
16,red.pe,2,1
17,brotherstaxikusadasi.com,1,1
18,youtube-video-marketing.com,5,2
19,andacollochile.cl,3,2
20,designerforhad.com,1,1
21,sliceoflimedesigns.com,2,1
22,simixcz.cz,2,1
23,slfeed.net,1,1
24,smartchoice.com.vn,2,4
25,spontaneoution.com,1,7
26,droneandroid.cz,1,1
27,ptgatesolutions.com,4,1
28,anghayehrabbani.com,1,1
29,thecreativeshop.com.au,3,1
30,gbmbuilders.com,2,0
31,study.ir,6,1
32,arigbabuwogalleria.com,1,1
33,wrapmotors.com,2,1
34,bdsm-academy.com,2,9
35,blobfeed.com,2,0
36,agtrade.hu,2,1
37,easypools.com.ng,3,1
38,actron.com.my,1,1
39,shirkeswitch.net,3,1
40,1pisoflight.com,1,1
41,swandecorators.co.uk,3,1
42,lymphaticyogaexpert.com,3,44
43,rafaelcarvalho.com.br,1,1
44,colestevens.co.uk,2,4
45,bigmindtech.in,6,52
46,futurer.co.nz,1,1
47,interruption.ru,129,9
48,ivanmocko.sk,1,4
49,modexcommunications.eu,6,2
50,alrafahfire.com,1,24
51,tripod.com,1,1
52,quanganhmobile.net,2,1
53,deportetotal.mx,3,15
54,neomgk.me,1,3
55,nafistile.com,7,0
56,treassurebank.org,1,1
57,hostname.vip,28,6
58,seiomon.eu,1,1
59,isaacwright.com,1,1
60,tringshop.com,6,16
61,sentabi.com,2,0
62,omgmtg.com,1,0
63,travellow.world,1,1
64,fabinterio.co.in,1,24
65,usaistefl.com,2,1
66,panoramasistemas.com.br,2,1
67,goldfera.com,5,8
68,walburg.pl,2,1
69,inspirapro.id,1,1
70,netich.co.ke,1,0
71,abdillahsystem.com,2,1
72,pianobyearsecrets.com,1,1
73,buenapractica.cl,1,3
74,zymogen.net,1,1
75,aro.media,3,22
76,ardali.eu,2,1
77,masongthebom.com,1,1
78,ue.nz,2,1
79,radiocharlene.com,2,1
80,wsu.ac.za,1,1
81,kienthuctrading.com,1,1
82,taxtionfree.co.in,2,1
83,artmaui.com,4,1
84,mikekirin.com,1,0
85,simon-darrieumerlou.fr,3,1
86,soylubilgisayar.net,2,1
87,5gbfree.com,2,1
88,lagardenhostel.org,1,1
89,aasinfo.hu,1,1
90,dodahanghieu.net,1,1
91,sweet-bud.com,3,30
92,shawktech.com,5,12
93,telebriscom.cl,2,2
94,spc-rdc.net,3,1
95,karamed.ir,2,1
96,vatraneamului.it,1,0
97,banzaimonkey.com,2,1
98,kaebisch.com.br,1,1
99,sanderohrglobalsolutions.com,2,24
100,bipcode.com.br,18,1
101,vszdee99kf.com,1,0
102,sonmoda.net,1,1
